79633: O, K D
7: U S P, K C C C D C F D
7: O U Q, K C H K K F B K K D K C G B J J
7: R Q R, K F B L K F L K C G B B C D C D N J B C D C D K C H B J F K K F B K K D K C G B J J C K D K C H C J F B C D C D F F
7: T S S, K K F B L K F L K C G B B C D C D N J B C D C D K C H B J F K K F
7: S V W, L D H C K I C K C C C C D C F D F G D B K D K D J E B K C G J B K D K D
6: R O Q, K L F L K C G C K D K C H B J B C C D C F
6: S W Q, B L K F L K C G B B C D C D N J B C D C D K C H B J F
5: T S P, K K F B K K D K C G B J
5: S U P, K C G B C K C H F D B C C D C F D N
5: W V P, B K K D K C G B J J
5: V P Q, K L F L K C G C K D K C H B J B C
5: U T Q, D K C H K K F B K K D K C G B J J J
5: Q Q R, K K F B L K F L K C G B B C D C D N J B C D C D K C H B J F K K F B K K D K C G B J J C K D K C H C J F B C D C D F
5: W O S, K K F B L K F L K C G B B C D C D N J B C D C D K C H B J F K K F B K K
5: P U W, L D L D H C K I C K C C C C D C F D F G D B K D K D J E B K C G J B K D K D
4: X X, K B C
4: T T P, C C C D C F F
4: X T P, F L K C G B C K C H F D B C C D C F D N
4: O V P, C D C F D K F D L B
4: X T Q, K C H K K F B K K D K C G
4: R U Q, L K C G C K D K C H B J
4: O P R, K F B L K F L K C G B B C D C D N J B C D C D
4: R Q S, K K F B L K F L K C G B B C D C D N J B C D C D K C H B J F K K F B K
4: X X S, K F B L K F L K C G B B C D C D N J B C D C D K C H B J F K K F B K K D K C G B J J C K D K C H C J F B C D
4: Q T W, K B L D L D H C K I C K C C C C D C F D F G D B K D K D J E B K C G J B K D K D
4: W U W, K K B L D L D H C K I C K C C C C D C F D F G D B K D K D J E B K C G J B K
4: X W W, D H C K I C K C C C C D C F D F G D B K D K D J E B K C G J B K D K
3: X O P, F D K D K B J
3: O P P, D C F D K
3: U T P, K F B K K D K C G B J
3: S P Q, C G C K D K C H B J B C C D C F D
3: O T Q, C K D K C H B J B C C D C
3: T Q W, B C D C D K C H B J F K K F B K K D K C G B J J C K D K C H C J F
2: O Q, B K D
2: S Q, F K D
2: T Q, K K D
2: S R, F K D K
2: X S, D K K
2: U X, C F K
2: U P P, K F B K K D K
2: V V P, F B K K D K C G B J
2: Q R Q, K D K C H B J B C C D C F D N
2: T T Q, K L F L K C G C K D K C H
2: T V Q, C C D C F D H
2: U W Q, K K F B L K F L K C G B B C D C D N J B C D C D K C H
2: V W Q, B L K F L K C G B B C D C D N J B C D C D K C H B J
2: O X Q, K F B L K F L K C G B B C D C D N J B C D C D K C H
2: W X Q, B L K F L K C G B B C D C D N J B C D C D K C H
2: Q O R, F L K C G B B C D C D N J B C D C D K C H B J F
2: X P R, K F B L K F L K C G B B C D C D N J B C D C
2: R T R, B L K F L K C G B B C D C D N J B C D C D K C H B J F K K F B K K D K C G B J
2: S U S, K F B L K F L K C G B B C D C D N J B C D C D K C H B J F K
2: U X S, K K F B L K F L K C G B B C D C D N J B C D C D K C H B J F K K F B K K D K C G B J J C K D K C H C J F B C
2: U O T, K K F B L K F L K C G B B C D C D N J B C D C D K C H B J F K K F B K K D K C G B J J C K D K C H C J F B
2: Q R T, B L K F L K C G B B C D C D N J B C D C D K C H B J F K K F B K K D K C G B J J C K D K C H C J F B C D
2: T S V, L K F L K C G B B C D C D N J B C D C D
2: S Q W, K K F B L K F L K C G B B C D C D N J
2: W T W, K K B L D L D H C K I C K C C C C D C F D F G D B K D K D J E B K C G J B K D K
2: V U W, D L D H C K I C K C C C C D C F D F G D B K D K D J E B K C G J B K D K D
2: O V W, K B L D L D H C K I C K C C C C D C F D F G D B K D K D J E B K C G J B
2: Q V W, B L D L D H C K I C K C C C C D C F D F G D B K D K D J E B K C G J B K
1: W Q, L D K
1: R R, K F K
1: S S, K F B
1: V U, K D F
1: V V, C K D K
1: R O P, C C D C F D K
1: U O P, C C C D C F D K
1: V P P, C C D C F F
1: R S P, C D C F D N
1: P T P, K C C C D C F
1: Q T P, K F B K K D K C G
1: S T P, F B K K D K C G B J J
1: O U P, F L K C G B C K C H F D B C C D C F D
1: R U P, F L K C G B C K C H F D B C C D C F
1: S V P, K B B C D
1: T V P, K B B C D C
1: P X P, L K C G C K D K C H B J B C C D C F D N
1: X X P, L K C G C K D K C H B J B C C D C F
